scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector
National Women Welfare Development Initiative,"The National Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 30 and 54 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Women and Child Development,Karnataka,Women Welfare
Pradhan Mantri Healthcare Abhiyan,"The Pradhan Mantri Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to self help groups in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be self help groups aged between 23 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Health and Family Welfare,Tamil Nadu,Healthcare
Integrated Social Welfare Development Initiative,"The Integrated Social Welfare Development Initiative is designed to promote social welfare development by providing targeted support to students in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be students aged between 24 and 44 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Social Justice and Empowerment,Rajasthan,Social Welfare
Pradhan Mantri Women Welfare Kalyan Program,"The Pradhan Mantri Women Welfare Kalyan Program is designed to promote women welfare development by providing targeted support to startup founders in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 25 and 52 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Women and Child Development,Tamil Nadu,Women Welfare
National Agriculture Mission,"The National Agriculture Mission is designed to promote agriculture development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be farmers aged between 28 and 50 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Agriculture and Farmers Welfare,Telangana,Agriculture
Smart India Housing Yojana,"The Smart India Housing Yojana is designed to promote housing development by providing targeted support to senior citizens in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 22 and 42 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Housing and Urban Affairs,All India,Housing
Smart India Housing Abhiyan,"The Smart India Housing Abhiyan is designed to promote housing development by providing targeted support to self help groups in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 30 and 44 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Housing and Urban Affairs,Gujarat,Housing
Digital India Education Development Initiative,"The Digital India Education Development Initiative is designed to promote education development by providing targeted support to farmers in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be farmers aged between 21 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,West Bengal,Education
National Agriculture Abhiyan,"The National Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 26 and 58 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,Uttar Pradesh,Agriculture
Pradhan Mantri Startup Development Initiative,"The Pradhan Mantri Startup Development Initiative is designed to promote startup development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be self help groups aged between 30 and 53 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Commerce and Industry,All India,Startup
Chief Minister Women Welfare Abhiyan,"The Chief Minister Women Welfare Abhiyan is designed to promote women welfare development by providing targeted support to women entrepreneurs in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be women entrepreneurs aged between 20 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Women and Child Development,Madhya Pradesh,Women Welfare
Integrated Agriculture Yojana,"The Integrated Agriculture Yojana is designed to promote agriculture development by providing targeted support to startup founders in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be startup founders aged between 27 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Agriculture and Farmers Welfare,Karnataka,Agriculture
Pradhan Mantri Education Development Initiative,"The Pradhan Mantri Education Development Initiative is designed to promote education development by providing targeted support to rural households in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be rural households aged between 23 and 41 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Education,Gujarat,Education
Chief Minister Women Welfare Samriddhi Scheme,"The Chief Minister Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to rural households in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 28 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Women and Child Development,Karnataka,Women Welfare
Rural Development Healthcare Abhiyan,"The Rural Development Healthcare Abhiyan is designed to promote healthcare development by providing targeted support to urban poor families in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be urban poor families aged between 25 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Health and Family Welfare,Tamil Nadu,Healthcare
Chief Minister Women Welfare Development Initiative,"The Chief Minister Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to students in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be students aged between 18 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Women and Child Development,Tamil Nadu,Women Welfare
Digital India Healthcare Samriddhi Scheme,"The Digital India Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to self help groups in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be self help groups aged between 30 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Health and Family Welfare,West Bengal,Healthcare
Rural Development Housing Kalyan Program,"The Rural Development Housing Kalyan Program is designed to promote housing development by providing targeted support to women entrepreneurs in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be women entrepreneurs aged between 26 and 65 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Housing and Urban Affairs,Kerala,Housing
Smart India Women Welfare Yojana,"The Smart India Women Welfare Yojana is designed to promote women welfare development by providing targeted support to self help groups in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be self help groups aged between 25 and 59 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Women and Child Development,All India,Women Welfare
Pradhan Mantri Employment Abhiyan,"The Pradhan Mantri Employment Abhiyan is designed to promote employment development by providing targeted support to startup founders in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be startup founders aged between 18 and 50 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Labour and Employment,Andhra Pradesh,Employment
Urban Development Women Welfare Samriddhi Scheme,"The Urban Development Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to startup founders in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be startup founders aged between 19 and 64 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Women and Child Development,Uttar Pradesh,Women Welfare
Integrated Social Welfare Yojana,"The Integrated Social Welfare Yojana is designed to promote social welfare development by providing targeted support to students in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 21 and 43 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Social Justice and Empowerment,Gujarat,Social Welfare
Urban Development Social Welfare Yojana,"The Urban Development Social Welfare Yojana is designed to promote social welfare development by providing targeted support to urban poor families in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be urban poor families aged between 23 and 61 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Social Justice and Empowerment,Andhra Pradesh,Social Welfare
Urban Development Energy Abhiyan,"The Urban Development Energy Abhiyan is designed to promote energy development by providing targeted support to small business owners in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 18 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,West Bengal,Energy
Urban Development Social Welfare Samriddhi Scheme,"The Urban Development Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to startup founders in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be startup founders aged between 23 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Social Justice and Empowerment,Andhra Pradesh,Social Welfare
Integrated Skill Development Yojana,"The Integrated Skill Development Yojana is designed to promote skill development development by providing targeted support to women entrepreneurs in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be women entrepreneurs aged between 19 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Skill Development and Entrepreneurship,Maharashtra,Skill Development
Digital India Employment Development Initiative,"The Digital India Employment Development Initiative is designed to promote employment development by providing targeted support to urban poor families in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 25 and 44 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Labour and Employment,Madhya Pradesh,Employment
Chief Minister Healthcare Samriddhi Scheme,"The Chief Minister Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to self help groups in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be self help groups aged between 19 and 50 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Health and Family Welfare,Telangana,Healthcare
Rural Development Housing Yojana,"The Rural Development Housing Yojana is designed to promote housing development by providing targeted support to youth in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 18 and 42 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,Tamil Nadu,Housing
Chief Minister Employment Development Initiative,"The Chief Minister Employment Development Initiative is designed to promote employment development by providing targeted support to youth in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be youth aged between 20 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Labour and Employment,West Bengal,Employment
Pradhan Mantri Healthcare Kalyan Program,"The Pradhan Mantri Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to rural households in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 29 and 52 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Health and Family Welfare,West Bengal,Healthcare
Chief Minister Energy Yojana,"The Chief Minister Energy Yojana is designed to promote energy development by providing targeted support to rural households in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 18 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Power,Uttar Pradesh,Energy
Rural Development Energy Samriddhi Scheme,"The Rural Development Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 19 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Tamil Nadu,Energy
Pradhan Mantri Healthcare Mission,"The Pradhan Mantri Healthcare Mission is designed to promote healthcare development by providing targeted support to youth in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be youth aged between 28 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Health and Family Welfare,Madhya Pradesh,Healthcare
Pradhan Mantri Skill Development Abhiyan,"The Pradhan Mantri Skill Development Abhiyan is designed to promote skill development development by providing targeted support to urban poor families in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 23 and 47 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Skill Development and Entrepreneurship,Rajasthan,Skill Development
Smart India Education Abhiyan,"The Smart India Education Abhiyan is designed to promote education development by providing targeted support to students in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 27 and 56 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Education,Rajasthan,Education
Digital India Agriculture Abhiyan,"The Digital India Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to urban poor families in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be urban poor families aged between 19 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Agriculture and Farmers Welfare,All India,Agriculture
Smart India Energy Mission,"The Smart India Energy Mission is designed to promote energy development by providing targeted support to senior citizens in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 27 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Power,Tamil Nadu,Energy
Integrated Skill Development Samriddhi Scheme,"The Integrated Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to startup founders in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 21 and 43 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Skill Development and Entrepreneurship,Karnataka,Skill Development
Urban Development Startup Abhiyan,"The Urban Development Startup Abhiyan is designed to promote startup development by providing targeted support to youth in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be youth aged between 18 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Commerce and Industry,Tamil Nadu,Startup
Pradhan Mantri Employment Kalyan Program,"The Pradhan Mantri Employment Kalyan Program is designed to promote employment development by providing targeted support to rural households in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be rural households aged between 21 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,Tamil Nadu,Employment
Digital India Skill Development Samriddhi Scheme,"The Digital India Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to youth in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be youth aged between 24 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Skill Development and Entrepreneurship,Uttar Pradesh,Skill Development
Urban Development Education Kalyan Program,"The Urban Development Education Kalyan Program is designed to promote education development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be farmers aged between 23 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Telangana,Education
Rural Development Startup Kalyan Program,"The Rural Development Startup Kalyan Program is designed to promote startup development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be senior citizens aged between 28 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Commerce and Industry,Madhya Pradesh,Startup
Smart India Social Welfare Abhiyan,"The Smart India Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to rural households in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 28 and 48 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Social Justice and Empowerment,Karnataka,Social Welfare
Pradhan Mantri Housing Development Initiative,"The Pradhan Mantri Housing Development Initiative is designed to promote housing development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 27 and 41 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,Karnataka,Housing
National Social Welfare Abhiyan,"The National Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to senior citizens in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be senior citizens aged between 24 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Social Justice and Empowerment,West Bengal,Social Welfare
Integrated Energy Development Initiative,"The Integrated Energy Development Initiative is designed to promote energy development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be women entrepreneurs aged between 23 and 53 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Power,Tamil Nadu,Energy
Urban Development Housing Yojana,"The Urban Development Housing Yojana is designed to promote housing development by providing targeted support to students in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 18 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Housing and Urban Affairs,Kerala,Housing
Integrated Healthcare Samriddhi Scheme,"The Integrated Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to urban poor families in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 20 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Health and Family Welfare,Gujarat,Healthcare
Digital India Social Welfare Samriddhi Scheme,"The Digital India Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to small business owners in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 28 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Social Justice and Empowerment,Andhra Pradesh,Social Welfare
Pradhan Mantri Housing Kalyan Program,"The Pradhan Mantri Housing Kalyan Program is designed to promote housing development by providing targeted support to small business owners in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 20 and 58 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,Telangana,Housing
Rural Development Healthcare Development Initiative,"The Rural Development Healthcare Development Initiative is designed to promote healthcare development by providing targeted support to women entrepreneurs in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 23 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Health and Family Welfare,Telangana,Healthcare
Digital India Agriculture Samriddhi Scheme,"The Digital India Agriculture Samriddhi Scheme is designed to promote agriculture development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 27 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Agriculture and Farmers Welfare,Tamil Nadu,Agriculture
Digital India Startup Kalyan Program,"The Digital India Startup Kalyan Program is designed to promote startup development by providing targeted support to self help groups in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be self help groups aged between 29 and 47 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Commerce and Industry,Rajasthan,Startup
Chief Minister Social Welfare Abhiyan,"The Chief Minister Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to youth in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be youth aged between 21 and 59 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Social Justice and Empowerment,Andhra Pradesh,Social Welfare
Urban Development Employment Samriddhi Scheme,"The Urban Development Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to youth in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 21 and 55 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Labour and Employment,All India,Employment
National Education Abhiyan,"The National Education Abhiyan is designed to promote education development by providing targeted support to startup founders in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 21 and 46 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Education,Kerala,Education
National Social Welfare Samriddhi Scheme,"The National Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to women entrepreneurs in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be women entrepreneurs aged between 23 and 52 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Social Justice and Empowerment,West Bengal,Social Welfare
Digital India Skill Development Development Initiative,"The Digital India Skill Development Development Initiative is designed to promote skill development development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be startup founders aged between 27 and 63 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Skill Development and Entrepreneurship,All India,Skill Development
Digital India Employment Kalyan Program,"The Digital India Employment Kalyan Program is designed to promote employment development by providing targeted support to startup founders in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be startup founders aged between 19 and 52 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Labour and Employment,Andhra Pradesh,Employment
Pradhan Mantri Skill Development Samriddhi Scheme,"The Pradhan Mantri Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to women entrepreneurs in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be women entrepreneurs aged between 18 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Skill Development and Entrepreneurship,Telangana,Skill Development
Integrated Social Welfare Kalyan Program,"The Integrated Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to women entrepreneurs in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be women entrepreneurs aged between 26 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Social Justice and Empowerment,Karnataka,Social Welfare
