scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector
Pradhan Mantri Women Welfare Kalyan Program,"The Pradhan Mantri Women Welfare Kalyan Program is designed to promote women welfare development by providing targeted support to senior citizens in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be senior citizens aged between 25 and 50 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Women and Child Development,West Bengal,Women Welfare
National Skill Development Kalyan Program,"The National Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be rural households aged between 19 and 52 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Skill Development and Entrepreneurship,All India,Skill Development
Chief Minister Startup Mission,"The Chief Minister Startup Mission is designed to promote startup development by providing targeted support to youth in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 26 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Commerce and Industry,Kerala,Startup
Smart India Social Welfare Mission,"The Smart India Social Welfare Mission is designed to promote social welfare development by providing targeted support to small business owners in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be small business owners aged between 29 and 53 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Social Justice and Empowerment,All India,Social Welfare
Pradhan Mantri Skill Development Yojana,"The Pradhan Mantri Skill Development Yojana is designed to promote skill development development by providing targeted support to farmers in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be farmers aged between 25 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Skill Development and Entrepreneurship,All India,Skill Development
Integrated Social Welfare Mission,"The Integrated Social Welfare Mission is designed to promote social welfare development by providing targeted support to students in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be students aged between 22 and 65 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Social Justice and Empowerment,Telangana,Social Welfare
Digital India Skill Development Kalyan Program,"The Digital India Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to youth in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 26 and 44 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Skill Development and Entrepreneurship,Gujarat,Skill Development
Chief Minister Agriculture Abhiyan,"The Chief Minister Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to women entrepreneurs in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 20 and 47 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Agriculture and Farmers Welfare,All India,Agriculture
Smart India Employment Kalyan Program,"The Smart India Employment Kalyan Program is designed to promote employment development by providing targeted support to small business owners in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 19 and 54 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Andhra Pradesh,Employment
Pradhan Mantri Education Kalyan Program,"The Pradhan Mantri Education Kalyan Program is designed to promote education development by providing targeted support to women entrepreneurs in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be women entrepreneurs aged between 18 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Education,Rajasthan,Education
Integrated Social Welfare Development Initiative,"The Integrated Social Welfare Development Initiative is designed to promote social welfare development by providing targeted support to startup founders in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be startup founders aged between 18 and 48 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Social Justice and Empowerment,Maharashtra,Social Welfare
Pradhan Mantri Agriculture Development Initiative,"The Pradhan Mantri Agriculture Development Initiative is designed to promote agriculture development by providing targeted support to startup founders in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be startup founders aged between 20 and 45 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Agriculture and Farmers Welfare,Gujarat,Agriculture
Chief Minister Education Samriddhi Scheme,"The Chief Minister Education Samriddhi Scheme is designed to promote education development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be senior citizens aged between 30 and 57 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Education,Madhya Pradesh,Education
Pradhan Mantri Housing Kalyan Program,"The Pradhan Mantri Housing Kalyan Program is designed to promote housing development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 20 and 48 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Housing and Urban Affairs,All India,Housing
Urban Development Startup Kalyan Program,"The Urban Development Startup Kalyan Program is designed to promote startup development by providing targeted support to women entrepreneurs in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 29 and 52 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Commerce and Industry,Karnataka,Startup
Digital India Employment Mission,"The Digital India Employment Mission is designed to promote employment development by providing targeted support to small business owners in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 29 and 64 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Rajasthan,Employment
Rural Development Social Welfare Mission,"The Rural Development Social Welfare Mission is designed to promote social welfare development by providing targeted support to youth in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be youth aged between 27 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Social Justice and Empowerment,West Bengal,Social Welfare
Integrated Education Development Initiative,"The Integrated Education Development Initiative is designed to promote education development by providing targeted support to women entrepreneurs in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be women entrepreneurs aged between 30 and 47 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Education,Maharashtra,Education
Smart India Startup Yojana,"The Smart India Startup Yojana is designed to promote startup development by providing targeted support to youth in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 30 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Commerce and Industry,Rajasthan,Startup
Chief Minister Startup Abhiyan,"The Chief Minister Startup Abhiyan is designed to promote startup development by providing targeted support to urban poor families in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be urban poor families aged between 27 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Commerce and Industry,Karnataka,Startup
Digital India Employment Samriddhi Scheme,"The Digital India Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 24 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,All India,Employment
Urban Development Energy Mission,"The Urban Development Energy Mission is designed to promote energy development by providing targeted support to senior citizens in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 25 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Power,Tamil Nadu,Energy
Urban Development Employment Samriddhi Scheme,"The Urban Development Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be senior citizens aged between 19 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Labour and Employment,Madhya Pradesh,Employment
Smart India Employment Samriddhi Scheme,"The Smart India Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to self help groups in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be self help groups aged between 22 and 53 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Labour and Employment,Telangana,Employment
Pradhan Mantri Employment Yojana,"The Pradhan Mantri Employment Yojana is designed to promote employment development by providing targeted support to senior citizens in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 21 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Labour and Employment,Telangana,Employment
Chief Minister Healthcare Kalyan Program,"The Chief Minister Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to senior citizens in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be senior citizens aged between 26 and 46 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Health and Family Welfare,Uttar Pradesh,Healthcare
Chief Minister Social Welfare Kalyan Program,"The Chief Minister Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 20 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Social Justice and Empowerment,All India,Social Welfare
National Housing Development Initiative,"The National Housing Development Initiative is designed to promote housing development by providing targeted support to urban poor families in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 21 and 54 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Housing and Urban Affairs,Telangana,Housing
Smart India Employment Mission,"The Smart India Employment Mission is designed to promote employment development by providing targeted support to small business owners in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be small business owners aged between 22 and 49 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Labour and Employment,Madhya Pradesh,Employment
Rural Development Skill Development Abhiyan,"The Rural Development Skill Development Abhiyan is designed to promote skill development development by providing targeted support to startup founders in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be startup founders aged between 27 and 50 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Skill Development and Entrepreneurship,Rajasthan,Skill Development
Urban Development Education Development Initiative,"The Urban Development Education Development Initiative is designed to promote education development by providing targeted support to small business owners in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be small business owners aged between 28 and 52 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Education,Gujarat,Education
Urban Development Social Welfare Kalyan Program,"The Urban Development Social Welfare Kalyan Program is designed to promote social welfare development by providing targeted support to startup founders in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 27 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Social Justice and Empowerment,Andhra Pradesh,Social Welfare
Pradhan Mantri Housing Abhiyan,"The Pradhan Mantri Housing Abhiyan is designed to promote housing development by providing targeted support to self help groups in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be self help groups aged between 19 and 40 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Housing and Urban Affairs,Telangana,Housing
National Women Welfare Kalyan Program,"The National Women Welfare Kalyan Program is designed to promote women welfare development by providing targeted support to rural households in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be rural households aged between 20 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Women and Child Development,Andhra Pradesh,Women Welfare
Chief Minister Skill Development Kalyan Program,"The Chief Minister Skill Development Kalyan Program is designed to promote skill development development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 30 and 59 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Skill Development and Entrepreneurship,Karnataka,Skill Development
Digital India Agriculture Mission,"The Digital India Agriculture Mission is designed to promote agriculture development by providing targeted support to farmers in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be farmers aged between 19 and 58 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Agriculture and Farmers Welfare,Uttar Pradesh,Agriculture
Smart India Women Welfare Development Initiative,"The Smart India Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to youth in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 20 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Women and Child Development,Maharashtra,Women Welfare
Smart India Healthcare Yojana,"The Smart India Healthcare Yojana is designed to promote healthcare development by providing targeted support to small business owners in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 24 and 48 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Health and Family Welfare,Rajasthan,Healthcare
Digital India Social Welfare Development Initiative,"The Digital India Social Welfare Development Initiative is designed to promote social welfare development by providing targeted support to senior citizens in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be senior citizens aged between 24 and 54 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Social Justice and Empowerment,Uttar Pradesh,Social Welfare
Digital India Startup Samriddhi Scheme,"The Digital India Startup Samriddhi Scheme is designed to promote startup development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 30 and 50 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Commerce and Industry,Uttar Pradesh,Startup
Urban Development Education Samriddhi Scheme,"The Urban Development Education Samriddhi Scheme is designed to promote education development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 23 and 48 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Telangana,Education
Smart India Healthcare Development Initiative,"The Smart India Healthcare Development Initiative is designed to promote healthcare development by providing targeted support to self help groups in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be self help groups aged between 29 and 60 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Health and Family Welfare,Uttar Pradesh,Healthcare
Chief Minister Energy Mission,"The Chief Minister Energy Mission is designed to promote energy development by providing targeted support to women entrepreneurs in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be women entrepreneurs aged between 25 and 61 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Power,Madhya Pradesh,Energy
National Education Abhiyan,"The National Education Abhiyan is designed to promote education development by providing targeted support to farmers in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be farmers aged between 26 and 60 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Tamil Nadu,Education
Urban Development Education Kalyan Program,"The Urban Development Education Kalyan Program is designed to promote education development by providing targeted support to women entrepreneurs in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be women entrepreneurs aged between 18 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Education,All India,Education
Smart India Employment Abhiyan,"The Smart India Employment Abhiyan is designed to promote employment development by providing targeted support to women entrepreneurs in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be women entrepreneurs aged between 18 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Labour and Employment,Gujarat,Employment
Chief Minister Social Welfare Yojana,"The Chief Minister Social Welfare Yojana is designed to promote social welfare development by providing targeted support to rural households in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be rural households aged between 23 and 53 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Social Justice and Empowerment,All India,Social Welfare
Rural Development Women Welfare Development Initiative,"The Rural Development Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to rural households in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be rural households aged between 26 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Women and Child Development,Maharashtra,Women Welfare
Integrated Employment Kalyan Program,"The Integrated Employment Kalyan Program is designed to promote employment development by providing targeted support to rural households in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be rural households aged between 28 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,Rajasthan,Employment
Urban Development Women Welfare Development Initiative,"The Urban Development Women Welfare Development Initiative is designed to promote women welfare development by providing targeted support to small business owners in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be small business owners aged between 23 and 56 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Women and Child Development,West Bengal,Women Welfare
National Skill Development Development Initiative,"The National Skill Development Development Initiative is designed to promote skill development development by providing targeted support to women entrepreneurs in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be women entrepreneurs aged between 19 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Skill Development and Entrepreneurship,Madhya Pradesh,Skill Development
National Employment Samriddhi Scheme,"The National Employment Samriddhi Scheme is designed to promote employment development by providing targeted support to students in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be students aged between 30 and 61 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Labour and Employment,Gujarat,Employment
Smart India Agriculture Development Initiative,"The Smart India Agriculture Development Initiative is designed to promote agriculture development by providing targeted support to youth in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 19 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Agriculture and Farmers Welfare,Maharashtra,Agriculture
Rural Development Women Welfare Samriddhi Scheme,"The Rural Development Women Welfare Samriddhi Scheme is designed to promote women welfare development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be senior citizens aged between 22 and 56 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Women and Child Development,Madhya Pradesh,Women Welfare
Digital India Women Welfare Mission,"The Digital India Women Welfare Mission is designed to promote women welfare development by providing targeted support to youth in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be youth aged between 27 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Women and Child Development,Uttar Pradesh,Women Welfare
Chief Minister Women Welfare Abhiyan,"The Chief Minister Women Welfare Abhiyan is designed to promote women welfare development by providing targeted support to small business owners in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 30 and 52 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Women and Child Development,Uttar Pradesh,Women Welfare
Digital India Startup Development Initiative,"The Digital India Startup Development Initiative is designed to promote startup development by providing targeted support to rural households in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 19 and 53 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Commerce and Industry,Kerala,Startup
Urban Development Housing Abhiyan,"The Urban Development Housing Abhiyan is designed to promote housing development by providing targeted support to youth in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be youth aged between 22 and 45 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,West Bengal,Housing
Pradhan Mantri Women Welfare Abhiyan,"The Pradhan Mantri Women Welfare Abhiyan is designed to promote women welfare development by providing targeted support to urban poor families in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be urban poor families aged between 24 and 44 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Women and Child Development,West Bengal,Women Welfare
Digital India Skill Development Abhiyan,"The Digital India Skill Development Abhiyan is designed to promote skill development development by providing targeted support to small business owners in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be small business owners aged between 19 and 46 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Skill Development and Entrepreneurship,West Bengal,Skill Development
Integrated Women Welfare Kalyan Program,"The Integrated Women Welfare Kalyan Program is designed to promote women welfare development by providing targeted support to startup founders in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be startup founders aged between 21 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Women and Child Development,All India,Women Welfare
National Startup Abhiyan,"The National Startup Abhiyan is designed to promote startup development by providing targeted support to women entrepreneurs in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be women entrepreneurs aged between 24 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Commerce and Industry,Karnataka,Startup
Digital India Social Welfare Yojana,"The Digital India Social Welfare Yojana is designed to promote social welfare development by providing targeted support to urban poor families in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",low-interest loans through partner banks,Applicants must be urban poor families aged between 29 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Social Justice and Empowerment,Gujarat,Social Welfare
Urban Development Employment Yojana,"The Urban Development Employment Yojana is designed to promote employment development by providing targeted support to farmers in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be farmers aged between 21 and 47 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Labour and Employment,West Bengal,Employment
