scheme_name,description,benefits,eligibility,application_process,target_beneficiaries,ministry,state,sector,rag_text
Urban Development Energy Abhiyan,"The Urban Development Energy Abhiyan is designed to promote energy development by providing targeted support to small business owners in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 18 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,West Bengal,Energy,"
Scheme Name: Urban Development Energy Abhiyan

Sector: Energy
Ministry: Ministry of Power
State: West Bengal

Description:
The Urban Development Energy Abhiyan is designed to promote energy development by providing targeted support to small business owners in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be small business owners aged between 18 and 55 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Social Welfare Samriddhi Scheme,"The Urban Development Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to startup founders in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be startup founders aged between 23 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Social Justice and Empowerment,Andhra Pradesh,Social Welfare,"
Scheme Name: Urban Development Social Welfare Samriddhi Scheme

Sector: Social Welfare
Ministry: Ministry of Social Justice and Empowerment
State: Andhra Pradesh

Description:
The Urban Development Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to startup founders in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be startup founders aged between 23 and 58 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
startup founders

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Skill Development Yojana,"The Integrated Skill Development Yojana is designed to promote skill development development by providing targeted support to women entrepreneurs in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be women entrepreneurs aged between 19 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Skill Development and Entrepreneurship,Maharashtra,Skill Development,"
Scheme Name: Integrated Skill Development Yojana

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Maharashtra

Description:
The Integrated Skill Development Yojana is designed to promote skill development development by providing targeted support to women entrepreneurs in Maharashtra. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be women entrepreneurs aged between 19 and 41 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Maharashtra.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Digital India Employment Development Initiative,"The Digital India Employment Development Initiative is designed to promote employment development by providing targeted support to urban poor families in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 25 and 44 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Labour and Employment,Madhya Pradesh,Employment,"
Scheme Name: Digital India Employment Development Initiative

Sector: Employment
Ministry: Ministry of Labour and Employment
State: Madhya Pradesh

Description:
The Digital India Employment Development Initiative is designed to promote employment development by providing targeted support to urban poor families in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be urban poor families aged between 25 and 44 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.

Target Beneficiaries:
urban poor families

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Healthcare Samriddhi Scheme,"The Chief Minister Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to self help groups in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be self help groups aged between 19 and 50 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,self help groups,Ministry of Health and Family Welfare,Telangana,Healthcare,"
Scheme Name: Chief Minister Healthcare Samriddhi Scheme

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: Telangana

Description:
The Chief Minister Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to self help groups in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be self help groups aged between 19 and 50 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
self help groups

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Housing Yojana,"The Rural Development Housing Yojana is designed to promote housing development by providing targeted support to youth in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be youth aged between 18 and 42 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Housing and Urban Affairs,Tamil Nadu,Housing,"
Scheme Name: Rural Development Housing Yojana

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: Tamil Nadu

Description:
The Rural Development Housing Yojana is designed to promote housing development by providing targeted support to youth in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be youth aged between 18 and 42 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Employment Development Initiative,"The Chief Minister Employment Development Initiative is designed to promote employment development by providing targeted support to youth in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be youth aged between 20 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Labour and Employment,West Bengal,Employment,"
Scheme Name: Chief Minister Employment Development Initiative

Sector: Employment
Ministry: Ministry of Labour and Employment
State: West Bengal

Description:
The Chief Minister Employment Development Initiative is designed to promote employment development by providing targeted support to youth in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be youth aged between 20 and 43 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Healthcare Kalyan Program,"The Pradhan Mantri Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to rural households in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 29 and 52 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Health and Family Welfare,West Bengal,Healthcare,"
Scheme Name: Pradhan Mantri Healthcare Kalyan Program

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: West Bengal

Description:
The Pradhan Mantri Healthcare Kalyan Program is designed to promote healthcare development by providing targeted support to rural households in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be rural households aged between 29 and 52 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of West Bengal.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Chief Minister Energy Yojana,"The Chief Minister Energy Yojana is designed to promote energy development by providing targeted support to rural households in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be rural households aged between 18 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Power,Uttar Pradesh,Energy,"
Scheme Name: Chief Minister Energy Yojana

Sector: Energy
Ministry: Ministry of Power
State: Uttar Pradesh

Description:
The Chief Minister Energy Yojana is designed to promote energy development by providing targeted support to rural households in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be rural households aged between 18 and 40 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Uttar Pradesh.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Energy Samriddhi Scheme,"The Rural Development Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be small business owners aged between 19 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Power,Tamil Nadu,Energy,"
Scheme Name: Rural Development Energy Samriddhi Scheme

Sector: Energy
Ministry: Ministry of Power
State: Tamil Nadu

Description:
The Rural Development Energy Samriddhi Scheme is designed to promote energy development by providing targeted support to small business owners in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be small business owners aged between 19 and 57 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Healthcare Mission,"The Pradhan Mantri Healthcare Mission is designed to promote healthcare development by providing targeted support to youth in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be youth aged between 28 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Health and Family Welfare,Madhya Pradesh,Healthcare,"
Scheme Name: Pradhan Mantri Healthcare Mission

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: Madhya Pradesh

Description:
The Pradhan Mantri Healthcare Mission is designed to promote healthcare development by providing targeted support to youth in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be youth aged between 28 and 62 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Madhya Pradesh.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Skill Development Abhiyan,"The Pradhan Mantri Skill Development Abhiyan is designed to promote skill development development by providing targeted support to urban poor families in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",subsidy covering up to 60% of project cost,Applicants must be urban poor families aged between 23 and 47 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Skill Development and Entrepreneurship,Rajasthan,Skill Development,"
Scheme Name: Pradhan Mantri Skill Development Abhiyan

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Rajasthan

Description:
The Pradhan Mantri Skill Development Abhiyan is designed to promote skill development development by providing targeted support to urban poor families in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
subsidy covering up to 60% of project cost

Eligibility:
Applicants must be urban poor families aged between 23 and 47 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.

Target Beneficiaries:
urban poor families

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Smart India Education Abhiyan,"The Smart India Education Abhiyan is designed to promote education development by providing targeted support to students in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 27 and 56 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Education,Rajasthan,Education,"
Scheme Name: Smart India Education Abhiyan

Sector: Education
Ministry: Ministry of Education
State: Rajasthan

Description:
The Smart India Education Abhiyan is designed to promote education development by providing targeted support to students in Rajasthan. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be students aged between 27 and 56 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Rajasthan.

Target Beneficiaries:
students

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Digital India Agriculture Abhiyan,"The Digital India Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to urban poor families in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be urban poor families aged between 19 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Agriculture and Farmers Welfare,All India,Agriculture,"
Scheme Name: Digital India Agriculture Abhiyan

Sector: Agriculture
Ministry: Ministry of Agriculture and Farmers Welfare
State: All India

Description:
The Digital India Agriculture Abhiyan is designed to promote agriculture development by providing targeted support to urban poor families in All India. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be urban poor families aged between 19 and 51 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of All India.

Target Beneficiaries:
urban poor families

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Smart India Energy Mission,"The Smart India Energy Mission is designed to promote energy development by providing targeted support to senior citizens in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be senior citizens aged between 27 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Power,Tamil Nadu,Energy,"
Scheme Name: Smart India Energy Mission

Sector: Energy
Ministry: Ministry of Power
State: Tamil Nadu

Description:
The Smart India Energy Mission is designed to promote energy development by providing targeted support to senior citizens in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be senior citizens aged between 27 and 57 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Skill Development Samriddhi Scheme,"The Integrated Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to startup founders in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be startup founders aged between 21 and 43 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,startup founders,Ministry of Skill Development and Entrepreneurship,Karnataka,Skill Development,"
Scheme Name: Integrated Skill Development Samriddhi Scheme

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Karnataka

Description:
The Integrated Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to startup founders in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be startup founders aged between 21 and 43 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.

Target Beneficiaries:
startup founders

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Startup Abhiyan,"The Urban Development Startup Abhiyan is designed to promote startup development by providing targeted support to youth in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be youth aged between 18 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Commerce and Industry,Tamil Nadu,Startup,"
Scheme Name: Urban Development Startup Abhiyan

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: Tamil Nadu

Description:
The Urban Development Startup Abhiyan is designed to promote startup development by providing targeted support to youth in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be youth aged between 18 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Employment Kalyan Program,"The Pradhan Mantri Employment Kalyan Program is designed to promote employment development by providing targeted support to rural households in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be rural households aged between 21 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Labour and Employment,Tamil Nadu,Employment,"
Scheme Name: Pradhan Mantri Employment Kalyan Program

Sector: Employment
Ministry: Ministry of Labour and Employment
State: Tamil Nadu

Description:
The Pradhan Mantri Employment Kalyan Program is designed to promote employment development by providing targeted support to rural households in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be rural households aged between 21 and 55 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Digital India Skill Development Samriddhi Scheme,"The Digital India Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to youth in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be youth aged between 24 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,youth,Ministry of Skill Development and Entrepreneurship,Uttar Pradesh,Skill Development,"
Scheme Name: Digital India Skill Development Samriddhi Scheme

Sector: Skill Development
Ministry: Ministry of Skill Development and Entrepreneurship
State: Uttar Pradesh

Description:
The Digital India Skill Development Samriddhi Scheme is designed to promote skill development development by providing targeted support to youth in Uttar Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be youth aged between 24 and 59 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Uttar Pradesh.

Target Beneficiaries:
youth

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Education Kalyan Program,"The Urban Development Education Kalyan Program is designed to promote education development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be farmers aged between 23 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.,Applications can be submitted through the official government portal or at designated government service centers.,farmers,Ministry of Education,Telangana,Education,"
Scheme Name: Urban Development Education Kalyan Program

Sector: Education
Ministry: Ministry of Education
State: Telangana

Description:
The Urban Development Education Kalyan Program is designed to promote education development by providing targeted support to farmers in Telangana. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be farmers aged between 23 and 65 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Telangana.

Target Beneficiaries:
farmers

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Rural Development Startup Kalyan Program,"The Rural Development Startup Kalyan Program is designed to promote startup development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be senior citizens aged between 28 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Commerce and Industry,Madhya Pradesh,Startup,"
Scheme Name: Rural Development Startup Kalyan Program

Sector: Startup
Ministry: Ministry of Commerce and Industry
State: Madhya Pradesh

Description:
The Rural Development Startup Kalyan Program is designed to promote startup development by providing targeted support to senior citizens in Madhya Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be senior citizens aged between 28 and 62 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Madhya Pradesh.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Smart India Social Welfare Abhiyan,"The Smart India Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to rural households in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.","financial assistance up to ₹50,000",Applicants must be rural households aged between 28 and 48 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,rural households,Ministry of Social Justice and Empowerment,Karnataka,Social Welfare,"
Scheme Name: Smart India Social Welfare Abhiyan

Sector: Social Welfare
Ministry: Ministry of Social Justice and Empowerment
State: Karnataka

Description:
The Smart India Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to rural households in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
financial assistance up to ₹50,000

Eligibility:
Applicants must be rural households aged between 28 and 48 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Karnataka.

Target Beneficiaries:
rural households

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Pradhan Mantri Housing Development Initiative,"The Pradhan Mantri Housing Development Initiative is designed to promote housing development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be small business owners aged between 27 and 41 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Housing and Urban Affairs,Karnataka,Housing,"
Scheme Name: Pradhan Mantri Housing Development Initiative

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: Karnataka

Description:
The Pradhan Mantri Housing Development Initiative is designed to promote housing development by providing targeted support to small business owners in Karnataka. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be small business owners aged between 27 and 41 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Karnataka.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
National Social Welfare Abhiyan,"The National Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to senior citizens in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be senior citizens aged between 24 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.,Applications can be submitted through the official government portal or at designated government service centers.,senior citizens,Ministry of Social Justice and Empowerment,West Bengal,Social Welfare,"
Scheme Name: National Social Welfare Abhiyan

Sector: Social Welfare
Ministry: Ministry of Social Justice and Empowerment
State: West Bengal

Description:
The National Social Welfare Abhiyan is designed to promote social welfare development by providing targeted support to senior citizens in West Bengal. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be senior citizens aged between 24 and 60 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of West Bengal.

Target Beneficiaries:
senior citizens

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Energy Development Initiative,"The Integrated Energy Development Initiative is designed to promote energy development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be women entrepreneurs aged between 23 and 53 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.,Applications can be submitted through the official government portal or at designated government service centers.,women entrepreneurs,Ministry of Power,Tamil Nadu,Energy,"
Scheme Name: Integrated Energy Development Initiative

Sector: Energy
Ministry: Ministry of Power
State: Tamil Nadu

Description:
The Integrated Energy Development Initiative is designed to promote energy development by providing targeted support to women entrepreneurs in Tamil Nadu. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be women entrepreneurs aged between 23 and 53 years with annual family income below ₹5 lakh. Applicants must also be permanent residents of Tamil Nadu.

Target Beneficiaries:
women entrepreneurs

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Urban Development Housing Yojana,"The Urban Development Housing Yojana is designed to promote housing development by providing targeted support to students in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.",health insurance coverage up to ₹5 lakh,Applicants must be students aged between 18 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.,Applications can be submitted through the official government portal or at designated government service centers.,students,Ministry of Housing and Urban Affairs,Kerala,Housing,"
Scheme Name: Urban Development Housing Yojana

Sector: Housing
Ministry: Ministry of Housing and Urban Affairs
State: Kerala

Description:
The Urban Development Housing Yojana is designed to promote housing development by providing targeted support to students in Kerala. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
health insurance coverage up to ₹5 lakh

Eligibility:
Applicants must be students aged between 18 and 45 years with annual family income below ₹8 lakh. Applicants must also be permanent residents of Kerala.

Target Beneficiaries:
students

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Integrated Healthcare Samriddhi Scheme,"The Integrated Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to urban poor families in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.",free skill training and certification,Applicants must be urban poor families aged between 20 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.,Applications can be submitted through the official government portal or at designated government service centers.,urban poor families,Ministry of Health and Family Welfare,Gujarat,Healthcare,"
Scheme Name: Integrated Healthcare Samriddhi Scheme

Sector: Healthcare
Ministry: Ministry of Health and Family Welfare
State: Gujarat

Description:
The Integrated Healthcare Samriddhi Scheme is designed to promote healthcare development by providing targeted support to urban poor families in Gujarat. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
free skill training and certification

Eligibility:
Applicants must be urban poor families aged between 20 and 51 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Gujarat.

Target Beneficiaries:
urban poor families

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
Digital India Social Welfare Samriddhi Scheme,"The Digital India Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to small business owners in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.",housing assistance for economically weaker sections,Applicants must be small business owners aged between 28 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.,Applications can be submitted through the official government portal or at designated government service centers.,small business owners,Ministry of Social Justice and Empowerment,Andhra Pradesh,Social Welfare,"
Scheme Name: Digital India Social Welfare Samriddhi Scheme

Sector: Social Welfare
Ministry: Ministry of Social Justice and Empowerment
State: Andhra Pradesh

Description:
The Digital India Social Welfare Samriddhi Scheme is designed to promote social welfare development by providing targeted support to small business owners in Andhra Pradesh. The program focuses on improving access to resources, infrastructure, and financial assistance.

Benefits:
housing assistance for economically weaker sections

Eligibility:
Applicants must be small business owners aged between 28 and 58 years with annual family income below ₹2 lakh. Applicants must also be permanent residents of Andhra Pradesh.

Target Beneficiaries:
small business owners

Application Process:
Applications can be submitted through the official government portal or at designated government service centers.
"
